1-0.869200	0.024220	-0.025909	-0.013499	-0.005497	-0.024740	0.001859
2-0.935813	0.011185	-0.023065	-0.010008	-0.004140	0.048037	0.000106
3-0.889941	0.035961	-0.009572	0.001243	-0.011529	0.190757	-0.000725
4-0.943060	-0.031766	-0.018846	0.023068	0.010405	-0.130082	0.000480
5-0.903055	0.032688	0.001706	-0.015649	-0.012135	0.236922	-0.000634
6-0.972940	0.034446	-0.012398	0.000842	-0.010161	0.156473	0.000003
7-0.875149	-0.022607	-0.025741	0.000030	0.007705	-0.066355	-0.001344
8-0.932796	0.035891	-0.010403	-0.007398	-0.013484	0.247324	-0.001167
9-0.964109	0.009654	0.011817	-0.017806	-0.003091	0.134080	-0.001631
10-0.848546	0.004046	-0.001057	0.000906	-0.000496	-0.064595	0.000864
11-0.898505	0.019004	-0.014994	-0.010785	-0.006235	-0.059394	0.001586
12-0.832944	-0.009471	-0.005629	0.001272	0.003055	0.008301	-0.000905
13-0.891637	-0.011841	-0.007380	0.012785	0.004452	-0.040340	-0.000247
14-0.967842	0.033794	-0.011736	-0.013667	-0.009068	0.032440	0.001852
15-0.942254	-0.006912	0.006545	-0.000662	0.000299	-0.000889	-0.000234
16-0.904052	-0.000560	-0.018509	0.001195	-0.000416	-0.063897	0.000728
17-0.967998	0.024629	-0.008202	0.003759	-0.008397	0.049876	0.000755
18-0.930343	-0.011161	0.003194	0.000007	0.002360	-0.059152	0.000366
19-0.946801	-0.003594	-0.010761	-0.000477	0.001295	-0.117445	0.000879
20-0.867484	-0.013437	-0.003063	0.008922	0.004523	-0.104235	0.000318
21-0.924071	0.004787	-0.004425	0.007836	-0.002066	0.034295	-0.000010
22-0.966202	0.021778	-0.023235	0.008592	-0.005572	0.094676	0.000182
23-0.971034	0.022121	-0.005505	0.009096	-0.006745	0.213557	-0.001689
24-0.913359	0.023458	-0.024366	0.012260	-0.008168	0.072637	0.000583
25-1.006990	0.036645	-0.008597	0.003778	-0.011197	0.246217	-0.001424
26-0.966996	-0.009064	-0.012037	-0.007307	0.004144	-0.129214	0.000477
27-0.866539	0.008507	-0.004394	-0.008986	-0.003390	0.059735	-0.000272
28-0.908282	-0.032472	-0.001611	0.008458	0.010398	-0.152552	0.000184
29-0.943600	0.000451	-0.012138	-0.001561	0.001108	-0.024986	0.000133
30-1.033138	0.007216	0.003192	0.011734	-0.002736	0.100738	-0.000658
31-0.883099	0.003857	-0.005194	0.011244	-0.002144	0.127981	-0.001419
32-0.932127	0.038250	-0.011829	-0.015842	-0.010574	0.198680	-0.000570
33-0.901496	-0.006813	-0.010358	-0.008153	0.005588	-0.008986	-0.001262
34-0.811578	-0.019294	-0.007221	-0.004757	0.005096	-0.167052	0.000662
35-0.914020	-0.020771	-0.017143	0.004643	0.007161	-0.189340	0.001122
36-0.915794	-0.005005	-0.019281	-0.004019	0.002583	-0.019312	-0.000306
37-0.895617	0.011596	0.000565	-0.005471	-0.001835	0.086250	-0.000524
38-0.859622	0.003043	-0.002471	-0.006966	-0.001256	0.008482	-0.000024
39-0.844144	-0.005300	-0.016622	0.006071	0.001924	0.039887	-0.000963
40-0.912340	0.001431	-0.021365	0.009250	0.000517	-0.146664	0.002066
41-0.814793	-0.003699	0.000842	-0.026846	0.001249	-0.071827	0.000594
42-0.911195	0.000239	-0.018718	-0.001270	0.001555	-0.089200	0.000854
43-0.919360	0.007931	-0.001892	0.010193	-0.003286	0.087502	-0.000560
44-0.794807	-0.018282	-0.016589	0.014752	0.005251	-0.008521	-0.000634
45-0.963681	0.004966	0.001109	-0.002520	-0.001983	0.083852	-0.000735
46-0.965058	0.023471	-0.006385	-0.015988	-0.007799	0.224010	-0.002082
47-0.870557	-0.009799	-0.024816	0.028839	0.001468	-0.020427	-0.000990
48-0.923162	0.014305	0.001181	-0.002188	-0.005137	0.004735	0.000661
49-0.929239	-0.007200	-0.004528	0.013789	0.002006	0.063844	-0.000969
50-0.865188	0.007030	-0.028760	-0.014758	0.001395	-0.098963	0.000847
51-0.796482	-0.027577	-0.025853	0.019987	0.008737	-0.047021	-0.001053
52-0.907445	-0.012734	-0.020189	0.017089	0.004674	-0.137062	0.000958
53-0.908005	0.016776	-0.021484	-0.029643	-0.001932	-0.096752	0.002262
54-0.837207	-0.004241	-0.018559	0.009554	0.002472	-0.081853	0.001025
55-0.957291	0.009955	-0.020122	-0.007278	-0.002521	-0.032185	0.001167
56-0.844364	-0.016132	-0.025489	0.002770	0.006175	-0.031956	-0.000540
57-0.961394	0.034250	-0.009420	0.001512	-0.009710	0.199926	-0.001327
58-0.951078	-0.012905	-0.009391	0.013778	0.004200	0.006661	-0.000603
59-0.910168	0.018171	-0.029887	-0.004591	-0.003669	0.081136	-0.000743
60-0.877339	-0.008182	-0.026298	0.003027	0.003342	-0.133081	0.001173
61-0.901998	-0.006622	-0.039456	0.004281	0.005031	-0.106831	0.000465
62-0.851482	0.010829	0.003307	0.010648	-0.005869	0.054423	0.000335
63-0.934184	-0.001435	-0.005367	-0.008316	0.001830	-0.158585	0.002060
64-0.870542	0.011368	-0.012441	0.005340	-0.004654	0.191646	-0.002202
65-0.935310	0.018787	-0.014639	-0.011798	-0.002576	-0.018055	0.001453
66-0.898112	-0.003399	-0.018967	-0.010750	0.004740	0.063669	-0.001706
67-0.855844	0.011884	-0.015945	-0.018403	-0.004039	-0.058133	0.000954
68-0.962663	0.018372	-0.008619	-0.002971	-0.004984	0.053316	0.000157
69-0.876287	-0.008286	-0.008138	0.009112	0.003024	-0.084685	0.000386
70-1.029835	0.012460	0.012352	-0.007180	-0.004590	0.122503	-0.000726
71-0.917755	0.025883	-0.007556	0.002944	-0.008866	0.061121	0.001428
72-0.902801	-0.011071	0.001059	-0.010640	0.004579	-0.112413	0.000607
73-0.799990	0.010185	-0.029143	0.000286	-0.002948	0.027688	-0.000054
74-0.866887	-0.005335	-0.022559	-0.008140	0.001808	-0.172996	0.001931
75-0.893723	-0.033873	-0.015373	0.010747	0.011531	-0.220643	0.001115
76-0.904952	0.016296	-0.020069	0.000722	-0.005426	0.025059	0.001044
77-0.895790	-0.014471	0.007298	-0.006355	0.004563	-0.146426	0.000922
78-0.865116	0.000525	-0.004075	-0.001791	-0.002402	0.044434	-0.000867
79-0.901034	-0.006693	-0.015455	-0.008356	0.003654	0.032678	-0.001281
80-0.897712	0.008018	-0.026060	0.008784	-0.003099	0.007785	0.000644
81-0.982322	0.008462	-0.016133	-0.009095	-0.002470	0.000396	0.000625
82-0.907342	0.004664	-0.001320	0.006775	-0.001014	-0.007705	0.000762
83-0.868999	0.015248	-0.017061	0.005898	-0.005310	-0.020764	0.001393
84-0.908728	0.014054	-0.020969	0.002233	-0.004634	0.045237	0.000033
85-0.798061	-0.002477	-0.002551	0.010663	-0.002077	0.028743	-0.000048
86-0.936054	-0.001091	0.002366	0.007836	-0.001828	0.013686	-0.000018
87-0.890688	0.010562	-0.002617	-0.013643	-0.002504	0.003872	0.000379
